params,avg_areaUnderROC,std_areaUnderROC,param.GBTClassifier.maxIter,param.GBTClassifier.maxDepth,param.GBTClassifier.stepSize
"{""GBTClassifier.maxIter"": 1, ""GBTClassifier.maxDepth"": 2, ""GBTClassifier.stepSize"": 0.1}",0.7812364093248897,0.001823018238058442,1,2,0.1
"{""GBTClassifier.maxIter"": 1, ""GBTClassifier.maxDepth"": 2, ""GBTClassifier.stepSize"": 0.2}",0.7812364093248897,0.001823018238058442,1,2,0.2
"{""GBTClassifier.maxIter"": 1, ""GBTClassifier.maxDepth"": 3, ""GBTClassifier.stepSize"": 0.1}",0.8318534947554639,0.0028391624968286244,1,3,0.1
"{""GBTClassifier.maxIter"": 1, ""GBTClassifier.maxDepth"": 3, ""GBTClassifier.stepSize"": 0.2}",0.8318534947554639,0.0028391624968286244,1,3,0.2
"{""GBTClassifier.maxIter"": 1, ""GBTClassifier.maxDepth"": 4, ""GBTClassifier.stepSize"": 0.1}",0.8515129786064612,0.0014777854589231524,1,4,0.1
"{""GBTClassifier.maxIter"": 1, ""GBTClassifier.maxDepth"": 4, ""GBTClassifier.stepSize"": 0.2}",0.8515129786064612,0.0014777854589231524,1,4,0.2
"{""GBTClassifier.maxIter"": 2, ""GBTClassifier.maxDepth"": 2, ""GBTClassifier.stepSize"": 0.1}",0.8053309303971531,0.01107147856150179,2,2,0.1
"{""GBTClassifier.maxIter"": 2, ""GBTClassifier.maxDepth"": 2, ""GBTClassifier.stepSize"": 0.2}",0.8153064794846353,0.007675107050013968,2,2,0.2
"{""GBTClassifier.maxIter"": 2, ""GBTClassifier.maxDepth"": 3, ""GBTClassifier.stepSize"": 0.1}",0.8486266614191754,0.0010522537070720597,2,3,0.1
"{""GBTClassifier.maxIter"": 2, ""GBTClassifier.maxDepth"": 3, ""GBTClassifier.stepSize"": 0.2}",0.8509257375383159,0.0012118976299201278,2,3,0.2
"{""GBTClassifier.maxIter"": 2, ""GBTClassifier.maxDepth"": 4, ""GBTClassifier.stepSize"": 0.1}",0.8615742105975238,0.0015287102985831024,2,4,0.1
"{""GBTClassifier.maxIter"": 2, ""GBTClassifier.maxDepth"": 4, ""GBTClassifier.stepSize"": 0.2}",0.8635746731533226,0.0008017918227247522,2,4,0.2
"{""GBTClassifier.maxIter"": 3, ""GBTClassifier.maxDepth"": 2, ""GBTClassifier.stepSize"": 0.1}",0.8153064794846353,0.007675107050013968,3,2,0.1
"{""GBTClassifier.maxIter"": 3, ""GBTClassifier.maxDepth"": 2, ""GBTClassifier.stepSize"": 0.2}",0.8352744603865735,0.008150372796206411,3,2,0.2
"{""GBTClassifier.maxIter"": 3, ""GBTClassifier.maxDepth"": 3, ""GBTClassifier.stepSize"": 0.1}",0.8533397433234272,0.001096565569384377,3,3,0.1
"{""GBTClassifier.maxIter"": 3, ""GBTClassifier.maxDepth"": 3, ""GBTClassifier.stepSize"": 0.2}",0.8571368857274445,0.0004977068114051408,3,3,0.2
"{""GBTClassifier.maxIter"": 3, ""GBTClassifier.maxDepth"": 4, ""GBTClassifier.stepSize"": 0.1}",0.8635131523369495,0.001525647646901131,3,4,0.1
