params,avg_areaUnderROC,std_areaUnderROC,param.GBTClassifier.maxIter,param.GBTClassifier.maxDepth,param.GBTClassifier.stepSize
"{""GBTClassifier.maxIter"": 1, ""GBTClassifier.maxDepth"": 2, ""GBTClassifier.stepSize"": 0.1}",0.7815552156472486,0.0065725184822999615,1,2,0.1
"{""GBTClassifier.maxIter"": 1, ""GBTClassifier.maxDepth"": 2, ""GBTClassifier.stepSize"": 0.2}",0.7815552156472486,0.0065725184822999615,1,2,0.2
"{""GBTClassifier.maxIter"": 1, ""GBTClassifier.maxDepth"": 3, ""GBTClassifier.stepSize"": 0.1}",0.8345628200673824,0.004109104961890242,1,3,0.1
"{""GBTClassifier.maxIter"": 1, ""GBTClassifier.maxDepth"": 3, ""GBTClassifier.stepSize"": 0.2}",0.8345628200673824,0.004109104961890242,1,3,0.2
"{""GBTClassifier.maxIter"": 1, ""GBTClassifier.maxDepth"": 4, ""GBTClassifier.stepSize"": 0.1}",0.8530309388391295,0.0006653888470084454,1,4,0.1
"{""GBTClassifier.maxIter"": 1, ""GBTClassifier.maxDepth"": 4, ""GBTClassifier.stepSize"": 0.2}",0.8530309388391295,0.0006653888470084454,1,4,0.2
"{""GBTClassifier.maxIter"": 2, ""GBTClassifier.maxDepth"": 2, ""GBTClassifier.stepSize"": 0.1}",0.809791139737596,0.013165591058778167,2,2,0.1
"{""GBTClassifier.maxIter"": 2, ""GBTClassifier.maxDepth"": 2, ""GBTClassifier.stepSize"": 0.2}",0.8236618934359717,0.014746855095494475,2,2,0.2
"{""GBTClassifier.maxIter"": 2, ""GBTClassifier.maxDepth"": 3, ""GBTClassifier.stepSize"": 0.1}",0.8496555589577707,0.003140456823696802,2,3,0.1
"{""GBTClassifier.maxIter"": 2, ""GBTClassifier.maxDepth"": 3, ""GBTClassifier.stepSize"": 0.2}",0.8507383383051988,0.0027204202698010585,2,3,0.2
"{""GBTClassifier.maxIter"": 2, ""GBTClassifier.maxDepth"": 4, ""GBTClassifier.stepSize"": 0.1}",0.8627922172517319,0.0013250744914913327,2,4,0.1
